@2.085418939590454 s: radius = 814.0
@2.085418939590454 s: hole = 200
@2.1187856197357178 s: radius = 828.0
@2.1187856197357178 s: hole = 200
@2.1521522998809814 s: radius = 842.0
@2.1521522998809814 s: hole = 200
@2.3857192993164062 s: radius = 828.0
@2.3857192993164062 s: hole = 200
@2.402402639389038 s: radius = 814.0
@2.402402639389038 s: hole = 200
@2.41908597946167 s: radius = 800.0
@2.41908597946167 s: hole = 200
@2.4524526596069336 s: radius = 786.0
@2.4524526596069336 s: hole = 200
@2.4691359996795654 s: radius = 772.0
@2.4691359996795654 s: hole = 200
@3.353353500366211 s: radius = 772.0
@3.353353500366211 s: hole = 186.0
@3.3867204189300537 s: radius = 772.0
@3.3867204189300537 s: hole = 172.0
@3.4200870990753174 s: radius = 772.0
@3.4200870990753174 s: hole = 158.0
@3.453453779220581 s: radius = 772.0
@3.453453779220581 s: hole = 144.0
@3.5201871395111084 s: radius = 772.0
@3.5201871395111084 s: hole = 130.0
@3.653653860092163 s: radius = 772.0
@3.653653860092163 s: hole = 144.0
@3.670337200164795 s: radius = 772.0
@3.670337200164795 s: hole = 158.0
@3.7037038803100586 s: radius = 772.0
@3.7037038803100586 s: hole = 172.0
@3.7203872203826904 s: radius = 772.0
@3.7203872203826904 s: hole = 186.0
@3.770437479019165 s: radius = 772.0
@3.770437479019165 s: hole = 200.0
@5.4054059982299805 s: filter sigma = 109.99
@5.438772678375244 s: filter sigma = 119.97999999999999
@5.472139358520508 s: filter sigma = 129.97
@5.538872718811035 s: filter sigma = 139.96
@5.739072799682617 s: filter sigma = 129.97
@5.772439479827881 s: filter sigma = 119.98
@5.8224897384643555 s: filter sigma = 100.0
@5.872539520263672 s: filter sigma = 90.01
@6.156156539916992 s: filter sigma = 109.99000000000001
@6.206206798553467 s: filter sigma = 129.97
@6.42309045791626 s: filter sigma = 159.94
@6.473140239715576 s: filter sigma = 179.92
@6.6566572189331055 s: filter sigma = 199.89999999999998
@6.706707000732422 s: filter sigma = 209.89
@7.040374279022217 s: filter sigma = 229.86999999999998
@7.090424060821533 s: filter sigma = 249.84999999999997
@7.3740410804748535 s: filter sigma = 239.85999999999996
@7.424091339111328 s: filter sigma = 179.91999999999996
@7.4741411209106445 s: filter sigma = 149.94999999999996
@7.640974998474121 s: filter sigma = 129.96999999999997
@7.6910247802734375 s: filter sigma = 90.00999999999996
@7.741075038909912 s: filter sigma = 80.01999999999997
@7.924592018127441 s: filter sigma = 50.04999999999997
@7.974641799926758 s: filter sigma = 20.079999999999966
@8.258258819580078 s: filter sigma = 10.089999999999966
@8.308308601379395 s: filter sigma = -19.880000000000038
@8.525192260742188 s: filter sigma = -29.87000000000004
@8.641976356506348 s: filter sigma = -19.880000000000038
@8.692026138305664 s: filter sigma = 0.09999999999996234
@8.74207592010498 s: filter sigma = 20.079999999999963
@8.942276000976562 s: filter sigma = 40.05999999999996
@8.992326736450195 s: filter sigma = 60.039999999999964
@9.192526817321777 s: filter sigma = 90.00999999999996
@9.242576599121094 s: filter sigma = 99.99999999999996
@9.39272689819336 s: filter sigma = 109.98999999999995
@9.442776679992676 s: filter sigma = 139.95999999999995
@9.492826461791992 s: filter sigma = 149.94999999999996
